run_id,seed,ubi_mode,alg,task,n_households,hidden_size,q_lr,p_lr,batch_size
212,1134,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
213,1141,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
214,1141,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
215,1142,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
216,1142,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
217,1143,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
218,1143,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
219,1144,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
220,1144,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
221,1151,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
222,1151,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
223,1152,na,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
224,1152,ubi,bmfac,gdp,100,128,3.00E-04,3.00E-04,128
225,1161,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
226,1161,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
227,1162,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
228,1162,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
229,1171,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
230,1171,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
231,1172,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
232,1172,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
